,hotel,is_canceled,lead_time,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_guests,countries
0,Resort Hotel,0,342,July,1,0,0,BB,Direct,0,0,0,C,3,,0,Transient,0.0,0,0,2.0,PRT
1,Resort Hotel,0,737,July,1,0,0,BB,Direct,0,0,0,C,4,,0,Transient,0.0,0,0,2.0,PRT
2,Resort Hotel,0,7,July,1,0,1,BB,Direct,0,0,0,C,0,,0,Transient,75.0,0,0,1.0,GBR
3,Resort Hotel,0,13,July,1,0,1,BB,Corporate,0,0,0,A,0,304.0,0,Transient,75.0,0,0,1.0,GBR
4,Resort Hotel,0,14,July,1,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,98.0,0,1,2.0,GBR
5,Resort Hotel,0,14,July,1,0,2,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,98.0,0,1,2.0,GBR
6,Resort Hotel,0,0,July,1,0,2,BB,Direct,0,0,0,C,0,,0,Transient,107.0,0,0,2.0,PRT
7,Resort Hotel,0,9,July,1,0,2,FB,Direct,0,0,0,C,0,303.0,0,Transient,103.0,0,1,2.0,PRT
8,Resort Hotel,1,85,July,1,0,3,BB,TA/TO,0,0,0,A,0,240.0,0,Transient,82.0,0,1,2.0,PRT
9,Resort Hotel,1,75,July,1,0,3,HB,TA/TO,0,0,0,D,0,15.0,0,Transient,105.5,0,0,2.0,PRT
10,Resort Hotel,1,23,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,123.0,0,0,2.0,PRT
11,Resort Hotel,0,35,July,1,0,4,HB,TA/TO,0,0,0,D,0,240.0,0,Transient,145.0,0,0,2.0,PRT
12,Resort Hotel,0,68,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,97.0,0,3,2.0,USA
13,Resort Hotel,0,18,July,1,0,4,HB,TA/TO,0,0,0,G,1,241.0,0,Transient,154.77,0,1,3.0,ESP
14,Resort Hotel,0,37,July,1,0,4,BB,TA/TO,0,0,0,E,0,241.0,0,Transient,94.71,0,0,2.0,PRT
15,Resort Hotel,0,68,July,1,0,4,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,97.0,0,3,2.0,IRL
16,Resort Hotel,0,37,July,1,0,4,BB,TA/TO,0,0,0,E,0,8.0,0,Contract,97.5,0,0,2.0,PRT
17,Resort Hotel,0,12,July,1,0,1,BB,TA/TO,0,0,0,E,0,240.0,0,Transient,88.2,0,0,2.0,IRL
18,Resort Hotel,0,0,July,1,0,1,BB,Corporate,0,0,0,G,0,,0,Transient,107.42,0,0,2.0,FRA
19,Resort Hotel,0,7,July,1,0,4,BB,Direct,0,0,0,G,0,250.0,0,Transient,153.0,0,1,2.0,GBR
20,Resort Hotel,0,37,July,1,1,4,BB,TA/TO,0,0,0,F,0,241.0,0,Transient,97.29,0,1,1.0,GBR
21,Resort Hotel,0,72,July,1,2,4,BB,Direct,0,0,0,A,1,250.0,0,Transient,84.67,0,1,2.0,PRT
22,Resort Hotel,0,72,July,1,2,4,BB,Direct,0,0,0,A,1,250.0,0,Transient,84.67,0,1,2.0,PRT
